date,home_team,score,away_team
26-12-2023,Cosenza,1 - 2,Como
14-01-2024,Cremonese,1 - 0,Cosenza
20-01-2024,Cosenza,4 - 2,Venezia
27-01-2024,Sudtirol,0 - 1,Cosenza
03-02-2024,Cosenza,1 - 1,Pisa
10-02-2024,Modena,1 - 1,Cosenza
17-02-2024,Lecco,1 - 3,Cosenza
23-02-2024,Cosenza,1 - 2,Sampdoria
27-02-2024,Parma,1 - 1,Cosenza
03-03-2024,Cosenza,0 - 2,Catanzaro
09-03-2024,Cosenza,0 - 0,Cittadella
16-03-2024,Ternana,1 - 0,Cosenza
01-04-2024,Cosenza,1 - 2,Brescia
06-04-2024,Feralpisalo,2 - 2,Cosenza
13-04-2024,Cosenza,1 - 1,Palermo
19-04-2024,Reggiana,0 - 4,Cosenza
27-04-2024,Cosenza,4 - 1,Bari
01-05-2024,Ascoli,0 - 1,Cosenza
05-05-2024,Cosenza,2 - 2,Spezia
10-05-2024,Como,1 - 1,Cosenza
19-08-2023,Cremonese,0 - 0,Catanzaro
26-08-2023,Cremonese,0 - 1,Bari
30-08-2023,Ternana,0 - 1,Cremonese
03-09-2023,Cremonese,1 - 1,Sampdoria
16-09-2023,Reggiana,2 - 2,Cremonese
23-09-2023,Cremonese,2 - 2,Ascoli
26-09-2023,Cosenza,1 - 2,Cremonese
01-10-2023,Cremonese,1 - 2,Parma
08-10-2023,Como,1 - 3,Cremonese
21-10-2023,Cremonese,0 - 1,Sudtirol
27-10-2023,Cittadella,1 - 2,Cremonese
05-11-2023,Cremonese,3 - 0,Spezia
12-11-2023,Brescia,0 - 3,Cremonese
25-11-2023,Cremonese,1 - 0,Lecco
02-12-2023,Pisa,0 - 0,Cremonese
09-12-2023,Cremonese,1 - 0,Venezia
16-12-2023,Feralpisalo,1 - 0,Cremonese
23-12-2023,Cremonese,4 - 0,Modena
26-12-2023,Palermo,3 - 2,Cremonese
14-01-2024,Cremonese,1 - 0,Cosenza
20-01-2024,Spezia,0 - 1,Cremonese
27-01-2024,Cremonese,1 - 0,Brescia
03-02-2024,Lecco,0 - 1,Cremonese
10-02-2024,Cremonese,1 - 1,Reggiana
16-02-2024,Ascoli,0 - 0,Cremonese
24-02-2024,Cremonese,2 - 2,Palermo
27-02-2024,Sampdoria,1 - 2,Cremonese
03-03-2024,Modena,0 - 1,Cremonese
09-03-2024,Cremonese,2 - 1,Como
16-03-2024,Sudtirol,3 - 0,Cremonese
01-04-2024,Cremonese,0 - 1,Feralpisalo
05-04-2024,Bari,1 - 2,Cremonese
13-04-2024,Cremonese,1 - 2,Ternana
20-04-2024,Catanzaro,0 - 0,Cremonese
26-04-2024,Venezia,2 - 1,Cremonese
01-05-2024,Cremonese,2 - 1,Pisa
05-05-2024,Parma,1 - 1,Cremonese
10-05-2024,Cremonese,3 - 0,Cittadella
20-08-2023,Parma,2 - 0,Feralpisalo
26-08-2023,Feralpisalo,0 - 2,Sudtirol
29-08-2023,Ascoli,3 - 0,Feralpisalo
02-09-2023,Palermo,3 - 0,Feralpisalo
16-09-2023,Feralpisalo,1 - 1,Modena
23-09-2023,Feralpisalo,0 - 1,Pisa
26-09-2023,Lecco,1 - 2,Feralpisalo
30-09-2023,Feralpisalo,1 - 2,Spezia
06-10-2023,Brescia,1 - 1,Feralpisalo
21-10-2023,Catanzaro,3 - 0,Feralpisalo
28-10-2023,Feralpisalo,0 - 3,Reggiana
04-11-2023,Cosenza,1 - 1,Feralpisalo
11-11-2023,Feralpisalo,3 - 3,Bari
25-11-2023,Como,2 - 1,Feralpisalo
02-12-2023,Feralpisalo,0 - 1,Cittadella
09-12-2023,Ternana,2 - 1,Feralpisalo
16-12-2023,Feralpisalo,1 - 0,Cremonese
23-12-2023,Sampdoria,2 - 3,Feralpisalo
26-12-2023,Feralpisalo,2 - 2,Venezia
13-01-2024,Sudtirol,1 - 0,Feralpisalo
20-01-2024,Feralpisalo,3 - 0,Catanzaro
27-01-2024,Feralpisalo,5 - 1,Lecco
03-02-2024,Reggiana,1 - 1,Feralpisalo
10-02-2024,Feralpisalo,1 - 2,Palermo
17-02-2024,Bari,1 - 0,Feralpisalo
24-02-2024,Feralpisalo,0 - 1,Ascoli
28-02-2024,Spezia,0 - 2,Feralpisalo
03-03-2024,Feralpisalo,1 - 3,Sampdoria
09-03-2024,Modena,2 - 3,Feralpisalo
16-03-2024,Feralpisalo,1 - 2,Parma
01-04-2024,Cremonese,0 - 1,Feralpisalo
06-04-2024,Feralpisalo,2 - 2,Cosenza
13-04-2024,Pisa,3 - 1,Feralpisalo
20-04-2024,Feralpisalo,2 - 5,Como
27-04-2024,Cittadella,1 - 1,Feralpisalo
01-05-2024,Feralpisalo,2 - 2,Brescia
05-05-2024,Venezia,2 - 1,Feralpisalo
10-05-2024,Feralpisalo,0 - 1,Ternana
03-09-2023,Lecco,3 - 4,Catanzaro
16-09-2023,Lecco,0 - 2,Brescia
23-09-2023,Modena,0 - 0,Lecco
26-09-2023,Lecco,1 - 2,Feralpisalo
01-10-2023,Cittadella,2 - 1,Lecco
